Datetime,Brine Flowrate (T/h),Fluid Temperature (°C),NCG+Steam Flowrate (T/h),Ambient Temperature (°C),Reinjection Temperature (°C),Gross Power (MW),Predicted Gross Power (MW),Has Red Warning,Has Yellow Warning,Red Warning Features,Yellow Warning Features
2025-03-04,1616.20446777343,175.12,67.088225364685,5.26322269439697,68.2569885253906,48.19432258605957,41.57722,False,False,[],[]
2025-03-04,1619.77880859375,175.3,67.0021457672119,7.63365030288696,69.1593780517578,47.36899375915527,41.606575,False,False,[],[]
2025-03-04,1621.43286132812,175.2,66.6890077590942,9.52440166473388,70.286506652832,46.4904842376709,41.685978,False,False,[],[]
2025-03-04,1615.97900390625,175.16,66.585557937622,11.3113737106323,71.0439300537109,45.67118835449219,41.180817,False,False,[],[]
2025-03-04,1616.49255371093,175.21,66.3698539733886,12.6832828521728,71.6016693115234,45.03471374511719,40.825695,False,False,[],[]
2025-03-04,1617.8408203125,174.96,66.518738746643,13.287350654602,71.9004974365234,44.74956512451172,40.57651,False,False,[],[]
2025-03-04,1617.75048828125,175.05,65.822657585144,14.0456104278564,71.9505615234375,44.65758514404297,41.271927,False,False,[],[]
2025-03-04,1618.4658203125,175.21,65.3235149383544,14.0341863632202,71.9228897094726,44.76243019104004,41.48948,False,False,[],[]
2025-03-04,1616.71166992187,174.95,65.3230552673339,13.1393175125122,71.7059249877929,45.06855010986328,40.57651,False,False,[],[]
2025-03-04,1622.09265136718,175.15,65.8522024154663,11.9849395751953,71.2122955322265,45.796321868896484,41.130142,False,False,[],[]
2025-03-04,1616.19458007812,175.11,66.4748058319091,10.66051197052,70.6025695800781,46.19929885864258,41.235115,False,False,[],[]
2025-03-04,1618.45727539062,175.24,66.2655487060546,10.436255455017,70.6852798461914,46.25724411010742,41.45145,False,False,[],[]
2025-03-04,1617.12390136718,175.63,65.9905500411987,9.33520984649658,70.1946945190429,46.806474685668945,40.93862,False,False,[],[]
2025-03-05,1615.96704101562,175.59,66.5231447219848,6.89848327636718,69.3696746826171,47.83220100402832,40.695946,False,False,[],[]
2025-03-05,1608.419921875,175.37,66.8342304229736,5.36010217666626,68.4494323730468,48.19253730773926,39.287674,False,False,[],[]
2025-03-05,1614.61999511718,175.43,66.8239221572876,5.04228973388671,68.2123565673828,48.32427406311035,40.97489,False,False,[],[]
2025-03-05,1615.39294433593,175.42,66.7394504547119,4.17484283447265,67.9681549072265,48.54476737976074,40.923553,False,False,[],[]
2025-03-05,1615.82116699218,175.42,66.5073318481445,3.6183910369873,67.7692184448242,48.69326400756836,40.97974,False,False,[],[]
2025-03-05,1609.94152832031,175.51,67.0474052429199,3.20162105560302,67.5515060424804,48.71976852416992,39.40303,False,False,[],[]
2025-03-05,1615.384765625,175.59,67.6572933197021,2.95459389686584,67.5697708129882,48.84231185913086,41.146465,False,False,[],[]
2025-03-05,1612.12353515625,175.53,67.6083002090454,2.83583188056945,67.3851699829101,48.81011962890625,39.92126,False,False,[],[]
